BTC-ORBS	0,25	0,00000155
BTC-XMY	0,24	0,00000013
BTC-MED	0,23	0,00000043
BTC-IHT	0,22	0,00000016
BTC-EDG	0,22	0,00000123
BTC-MER	0,21	0,00000061
BTC-MFT	0,21	0,00000011
BTC-ONG	0,20	0,00001275
BTC-BTM	0,19	0,00000918
BTC-CND	0,18	0,00000057
BTC-ANKR	0,17	0,00000024
BTC-QRL	0,17	0,00001040
BTC-RADS	0,17	0,00005786
BTC-CKB	0,17	0,00000062
BTC-MET	0,16	0,00004367
BTC-PMA	0,16	0,00000002
BTC-BKX	0,15	0,00000020
BTC-FSN	0,14	0,00001863
BTC-SPIN	0,14	0,00000028
BTC-DCT	0,12	0,00000223
BTC-NKN	0,12	0,00000178
BTC-CTXC	0,11	0,00000789
BTC-SLS	0,11	0,00085119
BTC-CMCT	0,11	0,00000004
BTC-GNO	0,10	0,00169601
BTC-DRGN	0,10	0,00000479
BTC-USDS	0,10	0,00019953
BTC-BNT	0,09	0,00002937
BTC-GEO	0,09	0,00001742
BTC-VDX	0,09	0,00000010
BTC-AEON	0,09	0,00001761
BTC-MUE	0,09	0,00000044
BTC-IOTX	0,09	0,00000036
BTC-PROM	0,08	0,00008311
BTC-VRC	0,07	0,00000274
BTC-BORA	0,07	0,00000222
BTC-ION	0,07	0,00000340
BTC-DNT	0,07	0,00000061
BTC-VBK	0,07	0,00000051
BTC-XSR	0,07	0,00000046
BTC-IOC	0,06	0,00000737
BTC-FXC	0,06	0,00000023
BTC-UBQ	0,06	0,00000934
BTC-1ST	0,05	0,00000903
BTC-MEME	0,05	0,00000125
BTC-META	0,04	0,00000073
BTC-UTK	0,04	0,00000125
BTC-POT	0,04	0,00000090
BTC-PINK	0,04	0,00000019
BTC-INCNT	0,04	0,00001190
BTC-MORE	0,04	0,00000240
BTC-FNB	0,04	0,00000023
BTC-JNT	0,04	0,00000448
BTC-HYC	0,04	0,00000021
BTC-EXCL	0,03	0,00000561
BTC-EXP	0,03	0,00000391
BTC-SIB	0,03	0,00000303
BTC-DENT	0,03	0,00000002
BTC-BWX	0,03	0,00000648
BTC-WGP	0,03	0,00000669
BTC-ART	0,03	0,00000260
BTC-HMQ	0,02	0,00000050
BTC-TRAC	0,02	0,00000116
BTC-VITE	0,02	0,00000143
BTC-TUDA	0,02	0,00000024
BTC-PLG	0,02	0,00000004
BTC-HXRO	0,02	0,00000870
BTC-BLOC	0,02	0,00000003
BTC-PLA	0,02	0,00000002
BTC-UKG	0,02	0,00000114
BTC-FLETA	0,02	0,00000096
BTC-SPC	0,01	0,00000030
BTC-BLTV	0,01	0,00000082
BTC-NLC2	0,01	0,00000007
