"MarketName":"BTC-BLITZ","High":0.00030037,"Low":0.00026500,"Volume":23837.33108395,"Last":0.00028610,"BaseVolume":6.82101940,"TimeStamp":"2017-08-17T05:29:15.72","Bid":0.00027532,"Ask":0.00028602,"OpenBuyOrders":208,"OpenSellOrders":1912,"PrevDay":0.00028999,"Created":"2014-11-13T20:20:21.443"
"MarketName":"BTC-BLK","High":0.00005752,"Low":0.00005030,"Volume":240231.15678965,"Last":0.00005119,"BaseVolume":12.66661551,"TimeStamp":"2017-08-17T05:29:11.813","Bid":0.00005048,"Ask":0.00005119,"OpenBuyOrders":162,"OpenSellOrders":1816,"PrevDay":0.00005489,"Created":"2014-03-14T09:00:00"
"MarketName":"BTC-BLOCK","High":0.00360556,"Low":0.00315000,"Volume":7831.07279670,"Last":0.00345072,"BaseVolume":26.34472429,"TimeStamp":"2017-08-17T05:29:08.67","Bid":0.00345501,"Ask":0.00355511,"OpenBuyOrders":267,"OpenSellOrders":905,"PrevDay":0.00354762,"Created":"2014-10-29T06:45:03.97"
"MarketName":"BTC-BNT","High":0.00065939,"Low":0.00060010,"Volume":162673.55319631,"Last":0.00063514,"BaseVolume":102.42137425,"TimeStamp":"2017-08-17T05:29:15.233","Bid":0.00063521,"Ask":0.00064000,"OpenBuyOrders":177,"OpenSellOrders":2635,"PrevDay":0.00062428,"Created":"2017-06-22T21:36:30.85"
"MarketName":"BTC-BRK","High":0.00003400,"Low":0.00003007,"Volume":329204.00615570,"Last":0.00003007,"BaseVolume":10.45066936,"TimeStamp":"2017-08-17T05:10:59.263","Bid":0.00003005,"Ask":0.00003008,"OpenBuyOrders":147,"OpenSellOrders":1466,"PrevDay":0.00003392,"Created":"2016-06-13T02:27:33.34"
"MarketName":"BTC-BRX","High":0.00012339,"Low":0.00011100,"Volume":139501.19455225,"Last":0.00011200,"BaseVolume":15.93309851,"TimeStamp":"2017-08-17T05:28:47.713","Bid":0.00011200,"Ask":0.00011391,"OpenBuyOrders":161,"OpenSellOrders":1328,"PrevDay":0.00011999,"Created":"2016-07-10T21:25:05.127"
"MarketName":"BTC-BSD","High":0.00008360,"Low":0.00007051,"Volume":72694.50909186,"Last":0.00007248,"BaseVolume":5.67636593,"TimeStamp":"2017-08-17T05:27:46.79","Bid":0.00007248,"Ask":0.00007376,"OpenBuyOrders":174,"OpenSellOrders":1312,"PrevDay":0.00007030,"Created":"2016-02-17T00:54:23.677"
"MarketName":"BTC-BTA","High":0.00010146,"Low":0.00007000,"Volume":71424.35213423,"Last":0.00008708,"BaseVolume":6.43546546,"TimeStamp":"2017-08-17T05:29:07.11","Bid":0.00008708,"Ask":0.00008922,"OpenBuyOrders":117,"OpenSellOrders":1110,"PrevDay":0.00009963,"Created":"2015-11-20T01:20:24.253"
"MarketName":"BTC-BTCD","High":0.01425892,"Low":0.01310032,"Volume":660.62093122,"Last":0.01320000,"BaseVolume":9.07192608,"TimeStamp":"2017-08-17T05:29:12.97","Bid":0.01319000,"Ask":0.01371518,"OpenBuyOrders":144,"OpenSellOrders":541,"PrevDay":0.01371181,"Created":"2014-07-14T06:05:04.567"
"MarketName":"BTC-BTS","High":0.00003649,"Low":0.00003129,"Volume":8065815.70433510,"Last":0.00003174,"BaseVolume":269.82936307,"TimeStamp":"2017-08-17T05:28:51.59","Bid":0.00003173,"Ask":0.00003174,"OpenBuyOrders":376,"OpenSellOrders":5217,"PrevDay":0.00003552,"Created":"2014-11-24T08:18:16.53"
